['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -147886000.0, -398310000.0, -228276796.875, -148226000.0, 17, 47, 37, 0.10767590618336886
2, -147566000.0, -149688000.0, -148703000.0, -149688000.0, 7, 31, 63, 0.13065976714100905
3, -100807000.0, -150390000.0, -139206148.93617022, -100807000.0, 7, 40, 54, 0.12038140643623362
4, -100027000.0, -101144000.0, -100805461.53846154, -101057000.0, 3, 23, 75, 0.10274669379450661
5, -98607000.0, -100030000.0, -99385432.43243243, -98607000.0, 6, 31, 64, 0.101
6, -98607000.0, -100757000.0, -99653666.66666667, -100757000.0, 1, 35, 65, 0.11516533637400228
7, -99027000.0, -100757000.0, -100046032.25806452, -100757000.0, 2, 29, 70, 0.1145124716553288
8, -99727000.0, -100757000.0, -99933516.12903225, -99764000.0, 1, 30, 70, 0.1082529474812433
9, -98647000.0, -150374000.0, -145162125.0, -147911000.0, 13, 35, 53, 0.10790598290598291
10, -147611000.0, -149721000.0, -148647200.0, -148308000.0, 7, 38, 56, 0.10444674250258532
11, -147891000.0, -149641000.0, -148751000.0, -149641000.0, 5, 46, 50, 0.12038140643623362
12, -148611000.0, -199256000.0, -162554740.0, -150635000.0, 9, 41, 51, 0.11542857142857142
13, -148529000.0, -150926000.0, -149859333.33333334, -148529000.0, 6, 36, 59, 0.11529680365296803
14, -148189000.0, -150592000.0, -149691018.5185185, -148534000.0, 6, 48, 47, 0.10813704496788008
15, -148534000.0, -149904000.0, -149232901.96078432, -149651000.0, 5, 46, 50, 0.1086021505376344
16, -148951000.0, -150681000.0, -149789563.63636363, -150321000.0, 10, 45, 46, 0.10358974358974359
17, -147369000.0, -150398000.0, -148200000.0, -147737000.0, 10, 35, 56, 0.12915601023017903
18, -146033000.0, -147786000.0, -147181612.24489796, -146110000.0, 9, 40, 52, 0.11503416856492027
19, -145290000.0, -147140000.0, -146140750.0, -146067000.0, 9, 47, 45, 0.11771561771561771
20, -146067000.0, -148266000.0, -147434912.28070176, -148155000.0, 9, 48, 44, 0.09528301886792453
21, -146655000.0, -148192000.0, -147547803.57142857, -147648000.0, 8, 48, 45, 0.11361079865016872
22, -147325000.0, -150393000.0, -148920508.77192983, -149976000.0, 8, 49, 44, 0.11002178649237472
23, -147066000.0, -150549000.0, -148268509.43396226, -149139000.0, 14, 39, 48, 0.12531017369727046
24, -147849000.0, -149666000.0, -148768039.21568626, -149666000.0, 7, 44, 50, 0.12139423076923077
25, -147069000.0, -149666000.0, -148645084.7457627, -149139000.0, 7, 52, 42, 0.12640801001251564
26, -144911000.0, -197760000.0, -163022214.2857143, -144911000.0, 12, 44, 45, 0.10609243697478991
27, -144911000.0, -196311000.0, -160829183.33333334, -145891000.0, 7, 53, 41, 0.1149032992036405
28, -145554000.0, -148288000.0, -147085980.0, -147423000.0, 8, 42, 51, 0.10930735930735931
29, -144533000.0, -147423000.0, -146159326.53061223, -146018000.0, 8, 41, 52, 0.11222222222222222
30, -145755000.0, -147785000.0, -146548872.34042552, -146393000.0, 4, 43, 54, 0.10676532769556026
31, -145656000.0, -148763000.0, -147036612.24489796, -148403000.0, 5, 44, 52, 0.08820960698689956
32, -147391000.0, -149227000.0, -148065617.0212766, -147468000.0, 6, 41, 54, 0.10575916230366492
33, -145271000.0, -148047000.0, -146583050.0, -146677000.0, 10, 50, 41, 0.11234705228031146
34, -146689000.0, -148442000.0, -147943968.25396827, -148025000.0, 6, 57, 38, 0.10412371134020619
35, -147365000.0, -149525000.0, -148487784.3137255, -148398000.0, 6, 45, 50, 0.11966824644549763
36, -146988000.0, -148759000.0, -148136125.0, -148022000.0, 9, 55, 37, 0.12023809523809524
37, -146614000.0, -148759000.0, -147421323.94366196, -147314000.0, 9, 62, 30, 0.1111111111111111
38, -97388000.0, -147731000.0, -108548736.84210527, -98505000.0, 4, 34, 63, 0.14616497829232997
39, -96688000.0, -99175000.0, -97858818.18181819, -98061000.0, 6, 49, 46, 0.11799065420560748
40, -96648000.0, -99101000.0, -97810377.77777778, -99101000.0, 7, 38, 56, 0.11868390129259694
41, -97385000.0, -99141000.0, -98585600.0, -98051000.0, 7, 33, 61, 0.12577833125778332
42, -98051000.0, -100382000.0, -99184317.07317074, -99178000.0, 5, 36, 60, 0.13082901554404144
43, -96691000.0, -99138000.0, -98579435.8974359, -97431000.0, 8, 31, 62, 0.11014176663031625
44, -97431000.0, -99965000.0, -98156594.5945946, -99625000.0, 4, 33, 64, 0.1377899045020464
45, -98885000.0, -100268000.0, -99661153.84615384, -99568000.0, 2, 37, 62, 0.13854595336076816
46, -98811000.0, -100268000.0, -99680461.53846154, -99151000.0, 5, 21, 75, 0.1270440251572327
47, -97771000.0, -99948000.0, -98516017.54385965, -98831000.0, 5, 52, 44, 0.1188235294117647
48, -97731000.0, -99211000.0, -98351823.52941176, -99211000.0, 4, 30, 67, 0.11609195402298851
49, -97771000.0, -99966000.0, -98787809.52380952, -99966000.0, 5, 37, 59, 0.12609238451935081
50, -98548000.0, -100006000.0, -99166891.30434783, -99623000.0, 5, 41, 55, 0.11516533637400228
